ts,event_type,best_bid,best_ask,position,cash,equity
0,EXTERNAL_ADD,99,,0,0.00,0.00
0,EXTERNAL_ADD,99,101,2,-202.00,-2.00
1,EXTERNAL_ADD,99,101,2,-202.00,-2.00
1,EXTERNAL_ADD,99,101,2,-202.00,-2.00
2,EXTERNAL_ADD,99,101,2,-202.00,-2.00
2,EXTERNAL_ADD,99,101,2,-202.00,-2.00
3,EXTERNAL_ADD,99,101,2,-202.00,-2.00
3,EXTERNAL_ADD,99,101,2,-202.00,-2.00
4,EXTERNAL_CANCEL,99,101,2,-202.00,-2.00
5,EXTERNAL_ADD,99,101,2,-202.00,-2.00
8,EXTERNAL_MKT,99,101,2,-202.00,-2.00
9,EXTERNAL_CANCEL,99,101,2,-202.00,-2.00
12,EXTERNAL_CANCEL,98,101,2,-202.00,-3.00
15,EXTERNAL_ADD,98,101,2,-202.00,-3.00
18,EXTERNAL_CANCEL,98,101,2,-202.00,-3.00
19,EXTERNAL_MKT,97,101,2,-202.00,-4.00
20,EXTERNAL_MKT,97,102,2,-202.00,-3.00
22,EXTERNAL_ADD,97,102,2,-202.00,-3.00
24,EXTERNAL_ADD,97,102,2,-202.00,-3.00
25,EXTERNAL_ADD,97,102,2,-202.00,-3.00
26,EXTERNAL_CANCEL,97,102,2,-202.00,-3.00
28,EXTERNAL_ADD,97,102,2,-202.00,-3.00
29,EXTERNAL_CANCEL,97,102,2,-202.00,-3.00
32,EXTERNAL_CANCEL,97,102,2,-202.00,-3.00
34,EXTERNAL_CANCEL,97,102,2,-202.00,-3.00
37,EXTERNAL_ADD,97,96,2,-202.00,-9.00
40,EXTERNAL_CANCEL,97,96,2,-202.00,-9.00
43,EXTERNAL_ADD,97,96,2,-202.00,-9.00
44,EXTERNAL_MKT,97,96,2,-202.00,-9.00
45,EXTERNAL_CANCEL,97,96,2,-202.00,-9.00
46,EXTERNAL_ADD,97,96,2,-202.00,-9.00
47,EXTERNAL_ADD,97,96,2,-202.00,-9.00
49,EXTERNAL_ADD,97,96,2,-202.00,-9.00
50,EXTERNAL_MKT,97,97,2,-202.00,-8.00
53,EXTERNAL_ADD,97,97,2,-202.00,-8.00
54,EXTERNAL_ADD,97,97,2,-202.00,-8.00
